Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
2493,BREED EL,428,20,1,K- 6,East,2
2507,BRENTWOOD SCI MAG,"1,018",39,4,K- 5,West,4
2521,BRIDGE EL,249,18,1,K- 5,East,2
6867,BRIDGES SCHOOL,"1,230",44,4,K- 8,South,7
7164,BRIGHT EL,725,27,2,K- 5,West,1
2527,BROAD AVE EL,801,20,1,K- 5,South,7
3829,BROADOUS EL,683,24,2,K- 5,Northeast,6
2534,Broadway Elementary School,600,25,2,K-5,West,4
2548,BROCKTON EL,225,19,1,K- 5,West,4
2562,BROOKLYN AVE EL,622,19,1,K- 8,East,2
2589,BRYSON EL,837,40,4,K- 5,East,5
2603,BUCHANAN EL,520,32,3,K- 6,Central,5
2616,BUDLONG EL,880,26,2,K- 5,West,1
2630,BURBANK EL,358,10,1,K- 5,Northeast,3
2658,BURTON EL,445,22,2,K- 5,Northeast,6
2671,BUSHNELL WAY EL,348,29,3,K- 6,Central,5
2685,CABRILLO EL,424,19,1,K- 5,South,7
2699,CAHUENGA EL,570,42,4,K- 5,Central,2
2704,CALABASH CA,430,34,3,K- 5,NorthWes,4
2706,CALAHAN COMMUNITY CH,630,34,3,K- 5,NorthWes,3
2712,CALVERT CHTR FOR ES,345,25,2,K- 5,NorthWes,4
2726,CAMELLIA EL,725,23,2,K- 5,Northeast,6
2740,CANFIELD EL,378,55,4,K- 5,West,1
2753,CANOGA PARK EL,827,29,3,K- 5,NorthWes,3
2781,CANTERBURY EL,"1,016",22,2,K- 5,Northeast,6
2795,CANYON EL,409,42,4,K- 5,West,4
2802,CAPISTRANO EL,416,28,3,K- 5,NorthWes,3
7401,CARDENAS EL,581,35,4,K- 5,Northeast,6
3426,Carmen Lomas Garza Primary Cen,134,23,2,PreK-2,East,2
2815,CAROLDALE LRNG COMM,983,22,2,K- 8,South,7
2822,CARPENTER COMM CHTR,953,61,4,K- 5,Northeast,3
2836,CARSON EL,704,26,2,K- 5,South,7
2939,CARSON-GORE ACADEMY,655,24,2,K- 5,West,1
2849,CARTHAY EL ES MAG,334,24,2,K- 5,West,1
2863,CASTELAR EL,665,44,4,K- 5,Central,2
2877,CASTLE HTS EL,591,39,4,K- 5,West,1
2881,CASTLEBAY LN EL,812,43,4,K- 5,NorthWes,3
2890,CATSKILL EL,581,27,2,K- 5,South,7
2945,CENTURY PARK EL,403,27,2,K- 5,West,1
2959,CHANDLER LA,525,18,1,K- 5,Northeast,3
2986,CHAPMAN EL,457,27,2,K- 5,South,7
3002,CHARNOCK ROAD EL,338,22,2,K- 6,West,1
3014,CHASE EL,672,33,3,K- 5,NorthWes,6
3027,CHATSWORTH PARK EL,370,21,1,K- 5,NorthWes,3
7640,CHAVEZ EL,337,23,2,K- 6,East,2
3041,Cheremoya Avenue ES,349,44,4,TK-6,West,0
3068,CIENEGA EL,660,32,3,K- 5,West,1
3082,CIMARRON EL,378,22,2,K- 5,West,1
3096,CITY TERRACE EL,433,22,2,K- 5,East,5
3110,CLIFFORD EL,127,11,1,K- 6,Central,5
3123,CLOVER EL,631,46,4,K- 5,West,1
6342,COEUR D ALENE EL,561,52,4,K- 5,West,4
3137,COHASSET EL,585,23,2,K- 5,NorthWes,6
3151,COLDWATER CYN EL,850,28,3,K- 5,Northeast,3
3164,COLFAX CHARTER EL,675,27,2,K- 5,Northeast,3
3178,Coliseum,220,13,1,Pre-K-5,West,1
7432,COLUMBUS AVE EL,572,25,2,K- 5,Northeast,6
3192,COMMONWEALTH EL,771,36,4,K- 5,Central,2
2741,COMMUNITY EL MAG CS,480,33,3,K- 5,West,4
3205,COMPTON EL,396,15,1,K- 5,South,7
3219,CORONA EL,944,19,1,1-5,East,5
5016,COUGHLIN EL,699,19,1,K- 5,Northeast,6
3260,COWAN EL,270,38,4,K- 5,West,4
3288,CRESCENT HTS L/A/S/J,384,26,2,K- 5,West,1
3302,CRESTWOOD ST EL,470,32,3,K- 6,South,7
3329,DAHLIA HTS EL,377,42,4,K- 6,Central,5
3335,DANUBE EL,452,27,2,K- 5,NorthWes,3
3340,DARBY AVE CHARTER,528,37,4,K- 5,NorthWes,3
3356,DAYTON HEIGHTS EL,572,27,2,K- 5,Central,5
3377,DEARBORN EL CA,522,49,4,K- 5,NorthWes,3
3384,DEL AMO EL,384,20,1,K- 5,South,7
2386,DEL OLMO EL,816,24,2,K- 5,Central,2
3397,DELEVAN DRIVE EL,512,41,4,K- 6,Central,5
3315,DENA EL,487,33,3,K- 6,East,2
3425,DENKER EL,805,29,3,K- 5,South,7
3438,DIXIE CYN COMM CHTR,711,52,4,K- 5,Northeast,3
3452,DOLORES EL,637,29,3,K- 5,South,7
3466,DOMINGUEZ EL,577,26,2,K- 5,South,7
3479,DORRIS PLACE EL,330,20,1,K- 6,Central,5
3493,DYER EL,742,23,2,K- 5,Northeast,6
3507,EAGLE ROCK EL,822,55,4,K- 6,Central,5
3521,EASTMAN EL,990,23,2,K- 5,East,2
3541,EL DORADO EL,553,31,3,K- 5,Northeast,6
3545,EL ORO WAY CHTR CES,496,34,3,K- 5,NorthWes,3
3562,El Sereno Elementary,400,16,1,TK-6,East,0
2680,ELEMENTARY CDS,7,17,1,K- 6,NorthWes,3
3548,ELIZABETH LC,"1,813",20,1,K-12,East,5
3575,ELYSIAN HEIGHTS EL,246,28,3,K- 6,Central,5
3589,Emelita Academy Charter,420,34,3,TK-5,NorthWes,3
3610,ENADIA TECH ENR CHTR,243,19,1,K- 5,NorthWes,3
3616,ENCINO CHARTER EL,553,61,4,K- 5,NorthWes,4
3630,ERWIN EL,720,36,4,K- 5,Northeast,3
6873,ESCALANTE EL,626,48,4,K- 6,East,5
3220,ESCUTIA PC,256,19,1,K- K,East,5
3640,ESHELMAN EL,594,30,3,K- 5,South,7
2383,ESPERANZA EL,805,46,4,K- 5,Central,2
2942,ESTRELLA EL,535,28,3,K- 5,Central,7
3671,EUCLID EL,838,20,1,K- 5,East,2
3699,EVERGREEN EL,872,22,2,K- 6,East,2
3712,FAIR EL,952,22,2,K- 5,Northeast,6
3726,FAIRBURN EL,471,33,3,K- 5,West,4
3740,FARMDALE EL,527,41,4,K- 5,East,2
3753,FERNANGELES EL,741,23,2,K- 5,Northeast,6
3849,FISHBURN EL,620,26,2,K- 5,East,5
3877,FLETCHER DR EL,369,15,1,K- 6,Central,5
3890,FLORENCE EL,785,17,1,K- 6,East,7
5781,FLOURNOY EL,668,23,2,K- 5,South,7
3918,FORD BLVD EL,"1,350",15,1,K- 6,East,5
8132,FOSHAY LC,148,6,1,K-12,Central,1
3986,FRANKLIN EL,524,53,4,K- 5,Central,5
4014,FRIES EL,531,25,2,K- 5,South,7
