Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
8683,GRANT SH,"2,052",38,3,9-12,Northeast,3
8816,GREY HS,148,12,1,9-12,Northwest,6
8168,GRIFFITH MS,"1,406",32,2,6-8,East,2
8169,HALE CA,"1,971",47,4,6-8,Northwest,3
8686,HAMILTON SH-COMPLEX,"2,999",56,4,9-12,West,1
8518,HARBOR TCHR PREP ACD,437,32,2,9-12,South,7
8170,HARTE PREP MS,783,28,2,6-8,West,1
8713,HAWKINS SH C/DAGS,559,30,2,9-12,West,1
7665,HAWKINS SH CHAS,449,38,3,9-12,West,1
7666,HAWKINS SH RISE,463,21,1,9-12,West,1
8174,HENRY MS,950,27,2,6-8,Northwest,3
4521,HESBY OAKS LEAD CHTR,552,29,2,K- 8,Northwest,4
8179,HOLLENBECK MS,"1,179",23,1,6-8,East,2
8693,HOLLYWOOD SH,"1,557",59,4,9-12,West,4
8182,HOLMES MS,"1,539",37,3,6-8,Northwest,3
8700,HUNTINGTON PARK SH,"1,934",38,3,9-12,East,5
8559,INDEPENDENCE HS,158,23,1,9-12,Northwest,3
8701,INTERNATIONAL ST LC,841,29,2,6-12,East,5
8189,IRVING MME MAG,636,47,4,6-8,Central,5
8721,Jordan High School,600,27,2,42259,South,7
8721,Jordan High School,600,27,2,42259,South,7
8777,KAHLO HS,163,28,2,9-12,Central,2
8725,KENNEDY SH,"2,104",39,3,9-12,Northwest,3
8064,KIM ACADEMY,940,23,1,6-10,Central,2
8208,KING FILM/MEDIA MAG,"1,851",33,3,6-8,Central,5
8727,KING-DREW MED MAG,"1,584",23,1,9-12,South,7
8741,LACES MAG,"1,652",55,4,6-12,West,1
1919,LANTERMAN HS,171,31,2,7-12,Central,2
8217,LAWRENCE MS,"1,492",39,3,6-8,Northwest,3
8226,LE CONTE MS,909,55,4,6-8,West,4
8701,Legacy SH Int Stud LC,-,0,0,6-12,East,5
8921,LEGACY SH STEAM,435,25,1,9-12,East,5
7664,LEGACY SH VAPA,352,46,4,9-12,East,5
1908,Leichman CtC,180,34,3,Post Graduate,Northwest,1
8638,LEWIS HS,110,21,1,9-12,Northeast,6
8058,LIECHTY MS,"1,151",26,2,6-8,Central,2
8729,LINCOLN SH,"1,243",35,3,9-12,East,2
7753,LINCOLN SH LEMA,232,28,2,9-12,East,2
8200,LOS ANGELES ACAD MS,"1,469",30,2,6-8,Central,7
